_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,counter_x,from_messages_x,channel_request_x,channel_req_targeted_by_x,source_x,counter_y,from_messages_y,channel_request_y,channel_req_targeted_by_y,source_y,counter_x.1,from_messages_x.1,channel_request_x.1,channel_req_targeted_by_x.1,source_x.1,counter_y.1,from_messages_y.1,channel_request_y.1,channel_req_targeted_by_y.1,source_y.1,counter_x.1.1,from_messages_x.1.1,channel_request_x.1.1,channel_req_targeted_by_x.1.1,source_x.1.1,counter_y.1.1,from_messages_y.1.1,channel_request_y.1.1,channel_req_targeted_by_y.1.1,source_y.1.1,counter_x.1.1.1,from_messages_x.1.1.1,channel_request_x.1.1.1,channel_req_targeted_by_x.1.1.1,source_x.1.1.1,counter_y.1.1.1,from_messages_y.1.1.1,channel_request_y.1.1.1,channel_req_targeted_by_y.1.1.1,source_y.1.1.1,counter_x.1.1.1.1,from_messages_x.1.1.1.1,channel_request_x.1.1.1.1,channel_req_targeted_by_x.1.1.1.1,source_x.1.1.1.1,counter_y.1.1.1.1,from_messages_y.1.1.1.1,channel_request_y.1.1.1.1,channel_req_targeted_by_y.1.1.1.1,source_y.1.1.1.1,counter_x.1.1.1.1.1,from_messages_x.1.1.1.1.1,channel_request_x.1.1.1.1.1,channel_req_targeted_by_x.1.1.1.1.1,source_x.1.1.1.1.1,counter_y.1.1.1.1.1,from_messages_y.1.1.1.1.1,channel_request_y.1.1.1.1.1,channel_req_targeted_by_y.1.1.1.1.1,source_y.1.1.1.1.1,counter_x.1.1.1.1.1.1,from_messages_x.1.1.1.1.1.1,channel_request_x.1.1.1.1.1.1,channel_req_targeted_by_x.1.1.1.1.1.1,source_x.1.1.1.1.1.1,counter_y.1.1.1.1.1.1,from_messages_y.1.1.1.1.1.1,channel_request_y.1.1.1.1.1.1,channel_req_targeted_by_y.1.1.1.1.1.1,source_y.1.1.1.1.1.1,counter_x.1.1.1.1.1.1.1,from_messages_x.1.1.1.1.1.1.1,channel_request_x.1.1.1.1.1.1.1,channel_req_targeted_by_x.1.1.1.1.1.1.1,source_x.1.1.1.1.1.1.1,counter_y.1.1.1.1.1.1.1,from_messages_y.1.1.1.1.1.1.1,channel_request_y.1.1.1.1.1.1.1,channel_req_targeted_by_y.1.1.1.1.1.1.1,source_y.1.1.1.1.1.1.1,counter_x.1.1.1.1.1.1.1.1,from_messages_x.1.1.1.1.1.1.1.1,channel_request_x.1.1.1.1.1.1.1.1,channel_req_targeted_by_x.1.1.1.1.1.1.1.1,source_x.1.1.1.1.1.1.1.1,counter_y.1.1.1.1.1.1.1.1,from_messages_y.1.1.1.1.1.1.1.1,channel_request_y.1.1.1.1.1.1.1.1,channel_req_targeted_by_y.1.1.1.1.1.1.1.1,source_y.1.1.1.1.1.1.1.1,counter_x.1.1.1.1.1.1.1.1.1,from_messages_x.1.1.1.1.1.1.1.1.1,channel_request_x.1.1.1.1.1.1.1.1.1,channel_req_targeted_by_x.1.1.1.1.1.1.1.1.1,source_x.1.1.1.1.1.1.1.1.1,counter_y.1.1.1.1.1.1.1.1.1,from_messages_y.1.1.1.1.1.1.1.1.1,channel_request_y.1.1.1.1.1.1.1.1.1,channel_req_targeted_by_y.1.1.1.1.1.1.1.1.1,source_y.1.1.1.1.1.1.1.1.1,counter_x.1.1.1.1.1.1.1.1.1.1,from_messages_x.1.1.1.1.1.1.1.1.1.1,channel_request_x.1.1.1.1.1.1.1.1.1.1,channel_req_targeted_by_x.1.1.1.1.1.1.1.1.1.1,source_x.1.1.1.1.1.1.1.1.1.1,counter_y.1.1.1.1.1.1.1.1.1.1,from_messages_y.1.1.1.1.1.1.1.1.1.1,channel_request_y.1.1.1.1.1.1.1.1.1.1,channel_req_targeted_by_y.1.1.1.1.1.1.1.1.1.1,source_y.1.1.1.1.1.1.1.1.1.1,counter_x.1.1.1.1.1.1.1.1.1.1.1,from_messages_x.1.1.1.1.1.1.1.1.1.1.1,channel_request_x.1.1.1.1.1.1.1.1.1.1.1,channel_req_targeted_by_x.1.1.1.1.1.1.1.1.1.1.1,source_x.1.1.1.1.1.1.1.1.1.1.1,counter_y.1.1.1.1.1.1.1.1.1.1.1,from_messages_y.1.1.1.1.1.1.1.1.1.1.1,channel_request_y.1.1.1.1.1.1.1.1.1.1.1,channel_req_targeted_by_y.1.1.1.1.1.1.1.1.1.1.1,source_y.1.1.1.1.1.1.1.1.1.1.1,counter_x.1.1.1.1.1.1.1.1.1.1.1.1,from_messages_x.1.1.1.1.1.1.1.1.1.1.1.1,channel_request_x.1.1.1.1.1.1.1.1.1.1.1.1,channel_req_targeted_by_x.1.1.1.1.1.1.1.1.1.1.1.1,source_x.1.1.1.1.1.1.1.1.1.1.1.1,counter_y.1.1.1.1.1.1.1.1.1.1.1.1,from_messages_y.1.1.1.1.1.1.1.1.1.1.1.1,channel_request_y.1.1.1.1.1.1.1.1.1.1.1.1,channel_req_targeted_by_y.1.1.1.1.1.1.1.1.1.1.1.1,source_y.1.1.1.1.1.1.1.1.1.1.1.1,counter_x.1.1.1.1.1.1.1.1.1.1.1.1.1,from_messages_x.1.1.1.1.1.1.1.1.1.1.1.1.1,channel_request_x.1.1.1.1.1.1.1.1.1.1.1.1.1,channel_req_targeted_by_x.1.1.1.1.1.1.1.1.1.1.1.1.1,source_x.1.1.1.1.1.1.1.1.1.1.1.1.1,counter_y.1.1.1.1.1.1.1.1.1.1.1.1.1,from_messages_y.1.1.1.1.1.1.1.1.1.1.1.1.1,channel_request_y.1.1.1.1.1.1.1.1.1.1.1.1.1,channel_req_targeted_by_y.1.1.1.1.1.1.1.1.1.1.1.1.1,source_y.1.1.1.1.1.1.1.1.1.1.1.1.1,counter,from_messages,channel_request,channel_req_targeted_by,source
Channel,1765747857,Freshercareers.in,"{'_': 'ChatPhoto', 'photo_id': 6307744878674685792, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08`1\xf9^\xf4QEt\x1c\xd6?'}",2022-04-26 15:06:59+00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-4586581773671570870,freshercareersdotin,[],,,,17022,,,,,,,,,,,9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9,8,1,{'channels': ['self']},['freshercareersdotin']
Channel,1765747857,Freshercareers.in,"{'_': 'ChatPhoto', 'photo_id': 6307744878674685792, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08`1\xf9^\xf4QEt\x1c\xd6?'}",2022-04-26 15:06:59+00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-4586581773671570870,freshercareersdotin,[],,,,17021,,,,,,,,,,,9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9,8,1,{'channels': ['self']},['freshercareersdotin']
Channel,1765747857,Freshercareers.in,"{'_': 'ChatPhoto', 'photo_id': 6307744878674685792, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08`1\xf9^\xf4QEt\x1c\xd6?'}",2022-04-26 15:06:59+00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-4586581773671570870,freshercareersdotin,[],,,,17021,,,,,,,,,,,9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9,8,1,{'channels': ['self']},['freshercareersdotin']
Channel,1765747857,Freshercareers.in,"{'_': 'ChatPhoto', 'photo_id': 6307744878674685792, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08`1\xf9^\xf4QEt\x1c\xd6?'}",2022-04-26 15:06:59+00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-4586581773671570870,freshercareersdotin,[],,,,17021,,,,,,,,,,,,,,,,9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9,8,1,{'channels': ['self']},['freshercareersdotin']
Channel,1765747857,Freshercareers.in,"{'_': 'ChatPhoto', 'photo_id': 6307744878674685792, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08`1\xf9^\xf4QEt\x1c\xd6?'}",2022-04-26 15:06:59+00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-4586581773671570870,freshercareersdotin,[],,,,17021,,,,,,,,,,,,,,,,9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9,8,1,{'channels': ['self']},['freshercareersdotin']
Channel,1765747857,Freshercareers.in,"{'_': 'ChatPhoto', 'photo_id': 6307744878674685792, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08`1\xf9^\xf4QEt\x1c\xd6?'}",2022-04-26 15:06:59+00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-4586581773671570870,freshercareersdotin,[],,,,17021,,,,,,,,,,,,,,,,9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9,8,1,{'channels': ['self']},['freshercareersdotin']
Channel,1765747857,Freshercareers.in,"{'_': 'ChatPhoto', 'photo_id': 6307744878674685792, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08`1\xf9^\xf4QEt\x1c\xd6?'}",2022-04-26 15:06:59+00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-4586581773671570870,freshercareersdotin,[],,,,17021,,,,,,,,,,,,,,,,,,,,,9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9,8,1,{'channels': ['self']},['freshercareersdotin']
Channel,1765747857,Freshercareers.in,"{'_': 'ChatPhoto', 'photo_id': 6307744878674685792, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08`1\xf9^\xf4QEt\x1c\xd6?'}",2022-04-26 15:06:59+00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-4586581773671570870,freshercareersdotin,[],,,,17021,,,,,,,,,,,,,,,,,,,,,9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9,8,1,{'channels': ['self']},['freshercareersdotin']
Channel,1765747857,Freshercareers.in,"{'_': 'ChatPhoto', 'photo_id': 6307744878674685792, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08`1\xf9^\xf4QEt\x1c\xd6?'}",2022-04-26 15:06:59+00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-4586581773671570870,freshercareersdotin,[],,,,17021,,,,,,,,,,,,,,,,,,,,,9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9,8,1,{'channels': ['self']},['freshercareersdotin']
Channel,1765747857,Freshercareers.in,"{'_': 'ChatPhoto', 'photo_id': 6307744878674685792, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08`1\xf9^\xf4QEt\x1c\xd6?'}",2022-04-26 15:06:59+00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-4586581773671570870,freshercareersdotin,[],,,,17021,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9.0,8.0,1.0,{'channels': ['self']},['freshercareersdotin'],9,8,1,{'channels': ['self']},['freshercareersdotin']
